filing_date,form,description,accession,ingested_at,source_url
2026-01-29,8-K,,0000320193-26-000005,2026-02-12T17:57:38.888439+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=8-K
2026-01-02,8-K,,0001140361-26-000199,2026-02-12T17:57:38.888439+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=8-K
2025-12-05,8-K,,0001140361-25-044561,2026-02-12T17:57:38.888439+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=8-K
2025-10-30,8-K,,0000320193-25-000077,2026-02-12T17:57:38.888439+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=8-K
2025-07-31,8-K,,0000320193-25-000071,2026-02-12T17:57:38.888439+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=8-K
2025-07-25,8-K,,0001140361-25-027340,2026-02-12T17:57:38.888439+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=8-K
2025-07-09,8-K,,0001140361-25-025275,2026-02-12T17:57:38.888439+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=8-K
2025-05-12,8-K,,0001140361-25-018400,2026-02-12T17:57:38.888439+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=8-K
2025-05-01,8-K,,0000320193-25-000055,2026-02-12T17:57:38.888439+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=8-K
2025-02-25,8-K,,0001140361-25-005876,2026-02-12T17:57:38.888439+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=8-K
