filing_date,item_code,item_description,severity,summary,processed_at,source_bronze
2026-01-29,2.02,Results of Operations,2,"Apple Inc. reported its quarterly earnings, showing a slight increase in revenue compared to the previous quarter. This routine disclosure provides insights into the company's financial health.",2026-02-12T17:58:03.440794+00:00,bronze_8k_filings.csv
2026-01-02,5.02,Departure/Appointment of Officers,4,"Apple Inc. announced the unexpected departure of its Chief Financial Officer, raising concerns about potential impacts on financial strategy. This event is flagged due to its potential implications on leadership stability.",2026-02-12T17:58:03.440794+00:00,bronze_8k_filings.csv
2025-12-05,1.01,Entry into Material Agreement,3,Apple Inc. entered into a significant partnership with a major tech company to enhance its supply chain capabilities. This agreement is expected to improve operational efficiency.,2026-02-12T17:58:03.440794+00:00,bronze_8k_filings.csv
2025-10-30,2.01,Completion of Acquisition/Disposition,3,"Apple Inc. completed the acquisition of a promising AI startup, aiming to bolster its machine learning capabilities. This strategic move is likely to enhance product innovation.",2026-02-12T17:58:03.440794+00:00,bronze_8k_filings.csv
2025-07-31,2.04,Triggering Events,5,A significant legal ruling against Apple Inc. could lead to substantial financial liabilities. This critical event may impact the company's financial standing and requires close monitoring.,2026-02-12T17:58:03.440794+00:00,bronze_8k_filings.csv
2025-07-25,5.03,Amendments to Articles/Bylaws,2,Apple Inc. made minor amendments to its corporate bylaws to streamline governance processes. This routine update is unlikely to have a major impact on operations.,2026-02-12T17:58:03.440794+00:00,bronze_8k_filings.csv
2025-07-09,4.02,Non-Reliance on Financial Statements,5,Apple Inc. announced that previously issued financial statements should not be relied upon due to accounting errors. This critical event is flagged due to its potential impact on investor trust.,2026-02-12T17:58:03.440794+00:00,bronze_8k_filings.csv
2025-05-12,7.01,Regulation FD Disclosure,1,"Apple Inc. provided an update on its upcoming product launch event, maintaining transparency with investors. This routine disclosure is part of regular investor communications.",2026-02-12T17:58:03.440794+00:00,bronze_8k_filings.csv
2025-05-01,8.01,Other Events,2,Apple Inc. announced a new sustainability initiative aimed at reducing carbon emissions across its supply chain. This initiative aligns with the company's long-term environmental goals.,2026-02-12T17:58:03.440794+00:00,bronze_8k_filings.csv
2025-02-25,4.01,Changes in Accountant,4,"Apple Inc. changed its independent auditor, which may raise questions about financial reporting practices. This event is flagged due to its potential implications on financial transparency.",2026-02-12T17:58:03.440794+00:00,bronze_8k_filings.csv
